,Magnitude,lat,long,depth (km)
"M 0.6 - 17km ESE of Anza, CA",0.55,-116.4936667,33.5236667,12.607
"M 0.5 - 12km SE of Anza, CA",0.48,-116.5668333,33.4906667,8.189
"M 0.2 - 12km SE of Anza, CA",0.22,-116.5665,33.4933333,7.379
"M 0.9 - 5km N of Banning, CA",0.92,-116.8688333,33.9723333,4.379
"M 0.4 - 14km SE of Anza, CA",0.37,-116.5555,33.4815,8.429
"M 1.3 - 17km S of Bombay Beach, CA",1.27,-115.7131667,33.1996667,0.093
"M 0.8 - 3km NW of Aguanga, CA",0.8,-116.8811667,33.4621667,14.917
"M 1.0 - 8km SW of Niland, CA",1.02,-115.5883333,33.1978333,2.713
"M 0.4 - 8km SW of Niland, CA",0.4,-115.582,33.1925,6.824
"M 1.0 - 9km SW of Niland, CA",0.97,-115.5926667,33.1886667,2.353
"M 0.7 - 13km ENE of Indio, CA",0.69,-116.0988333,33.7835,4.756
"M 1.5 - 6km WNW of Newport Beach, CA",1.52,-117.9845,33.6361667,18.095
"M 0.9 - 10km NNE of Cabazon, CA",0.86,-116.752,34.0043333,15.131
"M 1.1 - 6km SSW of Idyllwild, CA",1.11,-116.7328333,33.6861667,16.248
"M 1.5 - 4km SSE of Huntington Beach, CA",1.46,-117.9926667,33.6615,14.231
"M 0.8 - 16km ESE of Anza, CA",0.78,-116.5133333,33.5086667,14.294
"M 2.6 - 9 km SE of Redfield, Arkansas",2.6,-92.1088333,34.3893333,28.98
"M 1.1 - 4km SE of Ontario, CA",1.13,-117.5985,34.0246667,6.72
"M 0.5 - 13km SE of Anza, CA",0.51,-116.5843333,33.4641667,10.055
"M 0.8 - 15km WNW of Calipatria, CA",0.8,-115.6608333,33.1761667,3.203
"M 1.7 - 1km W of Encino, CA",1.71,-118.512,34.1585,12.002
"M 1.9 - 6km W of Fillmore, CA",1.9,-118.984,34.3958333,27.703
"M 0.6 - 12km ESE of Anza, CA",0.64,-116.55,33.52,10.335
"M 0.4 - 13km ESE of Anza, CA",0.42,-116.5451667,33.5053333,12.181
"M 1.3 - 14km N of Borrego Springs, CA",1.34,-116.3906667,33.3855,9.086
"M 0.4 - 12km SE of Anza, CA",0.43,-116.5648333,33.4898333,7.359
"M 1.2 - 10km SW of Corona, CA",1.19,-117.6476667,33.8036667,6.26
"M 0.4 - 21km ESE of Anza, CA",0.36,-116.4538333,33.516,6.615
"M 0.9 - 9km NE of Valle Vista, CA",0.92,-116.8125,33.7931667,15.744
"M 0.7 - 11km N of Banning, CA",0.69,-116.8693333,34.0248333,4.688
"M 0.6 - 11km SSE of Anza, CA",0.56,-116.6151667,33.4723333,7.853
"M 0.5 - 9km N of Anza, CA",0.46,-116.6763333,33.6396667,13.548
"M 1.0 - 6km SE of Ocotillo, CA",1.02,-115.9515,32.6928333,5.95
"M 1.4 - 25km N of Yucca Valley, CA",1.44,-116.4701667,34.3378333,9.805
"M 0.8 - 12km NE of Borrego Springs, CA",0.75,-116.2941667,33.3455,11.171
"M 0.4 - 10km S of Idyllwild, CA",0.44,-116.7055,33.6463333,12.027
"M 1.1 - 13km NNE of Ocotillo Wells, CA",1.13,-116.0983333,33.2541667,6.862
"M 0.9 - 22km ESE of Anza, CA",0.88,-116.4561667,33.4793333,13.165
"M 0.7 - 22km ESE of Anza, CA",0.68,-116.4553333,33.471,6.435
"M 0.8 - 9km S of Idyllwild, CA",0.84,-116.7136667,33.659,16.827
"M 1.3 - 6km WSW of Ocotillo, CA",1.34,-116.049,32.7068333,11.76
"M 0.5 - 8km SW of Idyllwild, CA",0.53,-116.7705,33.6838333,13.668
"M 1.5 - 6km WSW of Holtville, CA",1.5,-115.4395,32.7815,14.945
"M 0.3 - 6km S of Idyllwild, CA",0.34,-116.7075,33.6895,15.817
"M 1.3 - 23km NNW of Ocotillo, CA",1.3,-116.0476667,32.9391667,9.74
"M 0.8 - 3km W of Redlands, CA",0.78,-117.213,34.0583333,5.185
"M 0.7 - 5km WSW of Idyllwild, CA",0.68,-116.7703333,33.7233333,15.919
"M 0.7 - 4km N of Lake Henshaw, CA",0.7,-116.7676667,33.2803333,9.927
"M 0.4 - 11km WNW of Anza, CA",0.36,-116.7916667,33.5778333,9.235
"M 1.3 - 6km N of Borrego Springs, CA",1.34,-116.3841667,33.3088333,6.554
"M 0.8 - 6km SW of Idyllwild, CA",0.76,-116.7573333,33.7016667,15.937
"M 1.1 - 2km SSW of Loma Linda, CA",1.14,-117.2665,34.0271667,17.591
"M 0.6 - 11km S of Idyllwild, CA",0.55,-116.7375,33.6446667,10.905
"M 1.0 - 3km NNE of Palomar Observatory, CA",0.99,-116.845,33.3811667,6.627
"M 1.7 - 4km SSW of Redlands, CA",1.74,-117.1981667,34.0236667,6.069
"M 1.6 - 3km SE of Moorpark, CA",1.61,-118.858,34.2715,13.006
"M 1.3 - 4km S of Garnet, CA",1.31,-116.5403333,33.8628333,10.565
"M 1.5 - 21km WNW of Progreso, B.C., MX",1.45,-115.7815,32.6688333,5.733
"M 1.2 - 4km W of Borrego Springs, CA",1.18,-116.417,33.253,4.23
"M 1.1 - 5km SE of Loma Linda, CA",1.14,-117.225,34.0148333,9.778
"M 1.0 - 6km SSE of Beaumont, CA",0.97,-116.9415,33.8791667,9.074
"M 1.2 - 4km W of Borrego Springs, CA",1.15,-116.4236667,33.2568333,3.423
"M 1.5 - 7km W of Holtville, CA",1.52,-115.4548333,32.8135,13.827
"M 1.4 - 9km E of Borrego Springs, CA",1.38,-116.2753333,33.271,3.485
"M 1.9 - 8km SW of Holtville, CA",1.88,-115.4326667,32.7495,15.219
"M 1.8 - 9km NE of Calexico, CA",1.77,-115.4268333,32.7361667,14.97
"M 1.5 - 7km SSW of Holtville, CA",1.52,-115.4133333,32.7521667,14.987
